theta_deg,r_mm,z_mm
0.000000,0.000000,88.150729
0.153465,0.236111,88.151339
0.306921,0.472222,88.153168
0.460360,0.708333,88.156216
0.613774,0.944444,88.160484
0.767153,1.180556,88.165969
0.920490,1.416667,88.172673
1.073775,1.652778,88.180594
1.227000,1.888889,88.189731
1.380157,2.125000,88.200084
1.533237,2.361111,88.211651
1.686233,2.597222,88.224431
1.839134,2.833333,88.238423
1.991933,3.069444,88.253625
2.144623,3.305556,88.270036
2.297193,3.541667,88.287655
2.449637,3.777778,88.306478
2.601946,4.013889,88.326505
2.754111,4.250000,88.347733
2.906125,4.486111,88.370161
3.057980,4.722222,88.393785
3.209668,4.958333,88.418603
3.361180,5.194444,88.444614
3.512509,5.430556,88.471813
3.663647,5.666667,88.500200
3.814586,5.902778,88.529770
3.965319,6.138889,88.560520
4.115837,6.375000,88.592449
4.266134,6.611111,88.625551
4.416202,6.847222,88.659825
4.566034,7.083333,88.695267
4.715622,7.319444,88.731873
4.864958,7.555556,88.769640
5.014037,7.791667,88.808563
5.162850,8.027778,88.848640
5.311391,8.263889,88.889867
5.459654,8.500000,88.932238
5.607630,8.736111,88.975751
5.755313,8.972222,89.020402
5.902698,9.208333,89.066185
6.049776,9.444444,89.113096
6.196543,9.680556,89.161132
6.342991,9.916667,89.210288
6.489114,10.152778,89.260558
6.634907,10.388889,89.311940
6.780363,10.625000,89.364427
6.925475,10.861111,89.418014
7.070240,11.097222,89.472698
7.214650,11.333333,89.528473
7.358699,11.569444,89.585334
7.502384,11.805556,89.643277
7.645697,12.041667,89.702295
7.788635,12.277778,89.762384
7.931190,12.513889,89.823538
8.073360,12.750000,89.885752
8.215138,12.986111,89.949021
8.356519,13.222222,90.013339
8.497500,13.458333,90.078702
8.638074,13.694444,90.145102
8.778238,13.930556,90.212535
8.917988,14.166667,90.280995
9.057318,14.402778,90.350477
9.196225,14.638889,90.420974
9.334705,14.875000,90.492482
9.472753,15.111111,90.564993
9.610365,15.347222,90.638503
9.747539,15.583333,90.713005
9.884269,15.819444,90.788494
10.020553,16.055556,90.864963
10.156387,16.291667,90.942408
10.291768,16.527778,91.020820
10.426692,16.763889,91.100196
10.561157,17.000000,91.180528
10.695158,17.236111,91.261811
10.828694,17.472222,91.344039
10.961761,17.708333,91.427204
11.094357,17.944444,91.511303
11.226479,18.180556,91.596327
11.358124,18.416667,91.682272
11.489290,18.652778,91.769131
11.619975,18.888889,91.856897
11.750176,19.125000,91.945565
11.879892,19.361111,92.035129
12.009119,19.597222,92.125582
12.137857,19.833333,92.216918
12.266103,20.069444,92.309131
12.393855,20.305556,92.402215
12.521112,20.541667,92.496163
12.647873,20.777778,92.590970
12.774135,21.013889,92.686629
12.899898,21.250000,92.783134
13.025159,21.486111,92.880479
13.149918,21.722222,92.978658
13.274174,21.958333,93.077665
13.397925,22.194444,93.177493
13.521171,22.430556,93.278136
13.643910,22.666667,93.379588
13.766142,22.902778,93.481844
13.887866,23.138889,93.584896
14.009081,23.375000,93.688740
14.129787,23.611111,93.793368
14.249983,23.847222,93.898775
14.369669,24.083333,94.004955
14.488844,24.319444,94.111902
14.607508,24.555556,94.219610
14.725661,24.791667,94.328072
14.843303,25.027778,94.437284
14.960433,25.263889,94.547238
15.077051,25.500000,94.657929
15.193158,25.736111,94.769352
15.308753,25.972222,94.881499
15.423838,26.208333,94.994367
15.538411,26.444444,95.107948
15.652473,26.680556,95.222236
15.766025,26.916667,95.337227
15.879067,27.152778,95.452915
15.991599,27.388889,95.569293
16.103622,27.625000,95.686356
16.215136,27.861111,95.804098
16.326143,28.097222,95.922515
16.436642,28.333333,96.041599
16.546634,28.569444,96.161346
16.656121,28.805556,96.281751
16.765103,29.041667,96.402807
16.873580,29.277778,96.524509
16.981554,29.513889,96.646852
17.089026,29.750000,96.769830
17.195997,29.986111,96.893438
17.302467,30.222222,97.017672
