theta_deg,r_mm,z_mm
0.0000,0.0000,75.1327
0.0084,0.0110,75.1359
0.0167,0.0219,75.1392
0.0251,0.0329,75.1424
0.0334,0.0438,75.1457
0.0418,0.0548,75.1490
0.0501,0.0657,75.1523
0.0585,0.0767,75.1556
0.0668,0.0877,75.1589
0.0752,0.0986,75.1623
0.0835,0.1096,75.1656
0.0919,0.1206,75.1690
0.1002,0.1315,75.1723
0.1086,0.1425,75.1757
0.1170,0.1535,75.1791
0.1253,0.1644,75.1826
0.1337,0.1754,75.1860
0.1420,0.1864,75.1894
0.1504,0.1973,75.1929
0.1587,0.2083,75.1963
0.1671,0.2193,75.1998
0.1754,0.2303,75.2033
0.1838,0.2412,75.2068
0.1921,0.2522,75.2103
0.2005,0.2632,75.2139
0.2089,0.2742,75.2174
0.2172,0.2852,75.2210
0.2256,0.2961,75.2246
0.2339,0.3071,75.2281
0.2423,0.3181,75.2317
0.2506,0.3291,75.2353
0.2590,0.3401,75.2390
0.2673,0.3511,75.2426
0.2757,0.3621,75.2462
0.2840,0.3730,75.2499
0.2924,0.3840,75.2536
0.3007,0.3950,75.2572
0.3091,0.4060,75.2609
0.3175,0.4170,75.2646
0.3258,0.4280,75.2684
0.3342,0.4390,75.2721
0.3425,0.4500,75.2758
0.3509,0.4610,75.2796
0.3592,0.4720,75.2834
0.3676,0.4830,75.2871
0.3759,0.4940,75.2909
0.3843,0.5050,75.2947
0.3926,0.5160,75.2986
0.4010,0.5270,75.3024
0.4093,0.5380,75.3062
0.4177,0.5490,75.3101
0.4261,0.5600,75.3139
0.4344,0.5711,75.3178
0.4428,0.5821,75.3217
0.4511,0.5931,75.3256
0.4595,0.6041,75.3295
0.4678,0.6151,75.3334
0.4762,0.6261,75.3374
0.4845,0.6372,75.3413
0.4929,0.6482,75.3453
0.5012,0.6592,75.3493
0.5096,0.6702,75.3532
0.5179,0.6812,75.3572
0.5263,0.6923,75.3612
0.5347,0.7033,75.3653
0.5430,0.7143,75.3693
0.5514,0.7254,75.3733
0.5597,0.7364,75.3774
0.5681,0.7474,75.3814
0.5764,0.7584,75.3855
0.5848,0.7695,75.3896
0.5931,0.7805,75.3937
0.6015,0.7916,75.3978
0.6098,0.8026,75.4019
0.6182,0.8136,75.4061
0.6266,0.8247,75.4102
0.6349,0.8357,75.4143
0.6433,0.8468,75.4185
0.6516,0.8578,75.4227
0.6600,0.8689,75.4269
0.6683,0.8799,75.4311
0.6767,0.8909,75.4353
0.6850,0.9020,75.4395
0.6934,0.9131,75.4437
0.7017,0.9241,75.4480
0.7101,0.9352,75.4522
0.7184,0.9462,75.4565
0.7268,0.9573,75.4608
0.7352,0.9683,75.4650
0.7435,0.9794,75.4693
0.7519,0.9905,75.4737
0.7602,1.0015,75.4780
0.7686,1.0126,75.4823
0.7769,1.0237,75.4866
0.7853,1.0347,75.4910
0.7936,1.0458,75.4953
0.8020,1.0569,75.4997
0.8103,1.0679,75.5041
0.8187,1.0790,75.5085
0.8270,1.0901,75.5129
0.8354,1.1012,75.5173
0.8438,1.1122,75.5217
0.8521,1.1233,75.5262
0.8605,1.1344,75.5306
0.8688,1.1455,75.5351
0.8772,1.1566,75.5395
0.8855,1.1677,75.5440
0.8939,1.1787,75.5485
0.9022,1.1898,75.5530
0.9106,1.2009,75.5575
0.9189,1.2120,75.5620
0.9273,1.2231,75.5666
0.9357,1.2342,75.5711
0.9440,1.2453,75.5756
0.9524,1.2564,75.5802
0.9607,1.2675,75.5848
0.9691,1.2786,75.5894
0.9774,1.2897,75.5939
0.9858,1.3008,75.5985
0.9941,1.3119,75.6032
1.0025,1.3230,75.6078
1.0108,1.3341,75.6124
1.0192,1.3452,75.6170
1.0275,1.3563,75.6217
1.0359,1.3675,75.6264
1.0443,1.3786,75.6310
1.0526,1.3897,75.6357
1.0610,1.4008,75.6404
1.0693,1.4119,75.6451
1.0777,1.4231,75.6498
1.0860,1.4342,75.6545
1.0944,1.4453,75.6592
1.1027,1.4564,75.6640
1.1111,1.4676,75.6687
1.1194,1.4787,75.6735
1.1278,1.4898,75.6783
1.1361,1.5010,75.6830
1.1445,1.5121,75.6878
1.1529,1.5232,75.6926
1.1612,1.5344,75.6974
1.1696,1.5455,75.7022
1.1779,1.5566,75.7071
1.1863,1.5678,75.7119
1.1946,1.5789,75.7167
1.2030,1.5901,75.7216
1.2113,1.6012,75.7265
1.2197,1.6124,75.7313
1.2280,1.6235,75.7362
1.2364,1.6347,75.7411
1.2447,1.6458,75.7460
1.2531,1.6570,75.7509
1.2615,1.6682,75.7558
1.2698,1.6793,75.7608
1.2782,1.6905,75.7657
1.2865,1.7016,75.7707
1.2949,1.7128,75.7756
1.3032,1.7240,75.7806
1.3116,1.7351,75.7856
1.3199,1.7463,75.7905
1.3283,1.7575,75.7955
1.3366,1.7687,75.8005
1.3450,1.7798,75.8055
1.3534,1.7910,75.8106
1.3617,1.8022,75.8156
1.3701,1.8134,75.8206
1.3784,1.8246,75.8257
1.3868,1.8357,75.8307
1.3951,1.8469,75.8358
1.4035,1.8581,75.8409
1.4118,1.8693,75.8460
1.4202,1.8805,75.8511
1.4285,1.8917,75.8562
1.4369,1.9029,75.8613
1.4452,1.9141,75.8664
1.4536,1.9253,75.8715
1.4620,1.9365,75.8766
1.4703,1.9477,75.8818
1.4787,1.9589,75.8869
1.4870,1.9701,75.8921
1.4954,1.9813,75.8973
1.5037,1.9925,75.9025
1.5121,2.0037,75.9077
1.5204,2.0149,75.9128
1.5288,2.0262,75.9181
1.5371,2.0374,75.9233
1.5455,2.0486,75.9285
1.5538,2.0598,75.9337
1.5622,2.0710,75.9390
1.5706,2.0823,75.9442
1.5789,2.0935,75.9495
1.5873,2.1047,75.9547
1.5956,2.1159,75.9600
1.6040,2.1272,75.9653
1.6123,2.1384,75.9706
1.6207,2.1496,75.9759
1.6290,2.1609,75.9812
1.6374,2.1721,75.9865
1.6457,2.1834,75.9918
1.6541,2.1946,75.9972
1.6625,2.2059,76.0025
1.6708,2.2171,76.0079
1.6792,2.2283,76.0132
1.6875,2.2396,76.0186
1.6959,2.2508,76.0240
1.7042,2.2621,76.0293
1.7126,2.2734,76.0347
1.7209,2.2846,76.0401
1.7293,2.2959,76.0455
1.7376,2.3071,76.0510
1.7460,2.3184,76.0564
1.7543,2.3297,76.0618
1.7627,2.3409,76.0672
1.7711,2.3522,76.0727
1.7794,2.3635,76.0782
1.7878,2.3748,76.0836
1.7961,2.3860,76.0891
1.8045,2.3973,76.0946
1.8128,2.4086,76.1001
1.8212,2.4199,76.1056
1.8295,2.4312,76.1111
1.8379,2.4424,76.1166
1.8462,2.4537,76.1221
1.8546,2.4650,76.1276
1.8629,2.4763,76.1331
1.8713,2.4876,76.1387
1.8797,2.4989,76.1442
1.8880,2.5102,76.1498
1.8964,2.5215,76.1554
1.9047,2.5328,76.1609
1.9131,2.5441,76.1665
1.9214,2.5554,76.1721
1.9298,2.5667,76.1777
1.9381,2.5780,76.1833
1.9465,2.5893,76.1889
1.9548,2.6006,76.1945
1.9632,2.6120,76.2002
1.9716,2.6233,76.2058
1.9799,2.6346,76.2115
